  Max Value: 4.905802, Column: SRR13490730  Second Max Value: 2.100768, Column: SRR13490729
  Max Value: 3.377573, Column: SRR13490728  Second Max Value: 0.336603, Column: SRR15183066
  Max Value: 3.668388, Column: SRR16005344  Second Max Value: 2.687111, Column: SRR13490730
  Max Value: 1.281749, Column: SRR16005345  Second Max Value: 1.257095, Column: SRR15291903
  Max Value: 1.587672, Column: SRR12886447  Second Max Value: 0.627630, Column: SRR15838015
  Max Value: 5.324768, Column: SRR13490730  Second Max Value: 2.790872, Column: SRR13490729
  Max Value: 8.298409, Column: SRR2777582  Second Max Value: 8.272738, Column: SRR13490730
  Max Value: 3.931154, Column: SRR12886447  Second Max Value: 1.903175, Column: SRR5363153
  Max Value: 1.631548, Column: SRR16005344  Second Max Value: 0.809258, Column: SRR13490729
  Max Value: 2.710392, Column: SRR13490728  Second Max Value: 1.821978, Column: SRR13490729
  Max Value: 1.862902, Column: SRR19534945  Second Max Value: 1.781160, Column: SRR19534943
  Max Value: 15.693715, Column: SRR15291904  Second Max Value: 3.323280, Column: SRR12886435
  Max Value: 3.266300, Column: SRR16005344  Second Max Value: 1.362175, Column: SRR16005345
  Max Value: 1.074736, Column: SRR12886447  Second Max Value: 0.868557, Column: SRR16005344
  Max Value: 3.260667, Column: SRR13490730  Second Max Value: 1.715584, Column: SRR16005344
  Max Value: 3.733048, Column: SRR16005345  Second Max Value: 3.257367, Column: SRR16005343
  Max Value: 1.388509, Column: SRR13490730  Second Max Value: 1.280213, Column: SRR22028616
  Max Value: 1.148589, Column: SRR3109709  Second Max Value: 1.063465, Column: SRR16005344
  Max Value: 12.691913, Column: SRR3109704  Second Max Value: 10.945302, Column: SRR3109703
  Max Value: 1.711571, Column: SRR3109703  Second Max Value: 1.641551, Column: SRR3109704
  Max Value: 1.963734, Column: SRR3109703  Second Max Value: 1.808659, Column: SRR16005344
  Max Value: 7.278275, Column: SRR2777582  Second Max Value: 6.810128, Column: SRR2777583
  Max Value: 2.747395, Column: SRR16005345  Second Max Value: 1.808928, Column: SRR16005344
  Max Value: 1.728170, Column: SRR15291905  Second Max Value: 1.530336, Column: SRR14740613
