  Max Value: 4.377691, Column: ERR2077881  Second Max Value: 1.650097, Column: ERR489205
  Max Value: 12.843114, Column: SRR12247890  Second Max Value: 5.154409, Column: SRR12247888
  Max Value: 3.957366, Column: SRR3109717  Second Max Value: 2.104188, Column: SRR3109718
  Max Value: 13.997307, Column: ERR2074048  Second Max Value: 12.252687, Column: SRR7755108
  Max Value: 4.151436, Column: ERR2076168  Second Max Value: 3.650765, Column: ERR2076675
  Max Value: 3.009278, Column: SRR8357176  Second Max Value: 1.680779, Column: SRR3109718
  Max Value: 2.429175, Column: ERR489204  Second Max Value: 1.938297, Column: ERR489085
  Max Value: 4.528086, Column: ERR2076428  Second Max Value: 0.533198, Column: ERR2074547
  Max Value: 2.435695, Column: ERR2074736  Second Max Value: 0.144670, Column: SRR9695022
  Max Value: 8.461947, Column: SRR9695022  Second Max Value: 6.491189, Column: SRR9695020
  Max Value: 6.950612, Column: SRR7755074  Second Max Value: 3.781281, Column: ERR2074446
  Max Value: 5.282023, Column: ERR2074450  Second Max Value: 4.018539, Column: SRR9695021
  Max Value: 1.000392, Column: SRR9695021  Second Max Value: 0.662957, Column: SRR9695022
  Max Value: 3.307123, Column: ERR9578130  Second Max Value: 2.020971, Column: ERR2075401
  Max Value: 4.658400, Column: SRR3109718  Second Max Value: 0.589657, Column: SRR3109717
  Max Value: 1.258995, Column: ERR2077659  Second Max Value: 1.084395, Column: SRR8934207
  Max Value: 2.684609, Column: SRR8258959  Second Max Value: 1.113647, Column: SRR3109717
  Max Value: 5.486238, Column: SRR3109717  Second Max Value: 1.126905, Column: SRR3109718
  Max Value: 2.185001, Column: ERR2074605  Second Max Value: 1.910965, Column: ERR2074604
  Max Value: 7.312639, Column: SRR10426650  Second Max Value: 4.912457, Column: SRR8399079
  Max Value: 2.384799, Column: ERR2074053  Second Max Value: 1.833365, Column: ERR2075512
  Max Value: 5.787292, Column: ERR2075242  Second Max Value: 3.381078, Column: ERR2074053
  Max Value: 16.768633, Column: ERR2075394  Second Max Value: 13.488048, Column: ERR2075398
  Max Value: 19.964273, Column: ERR2075392  Second Max Value: 11.769703, Column: ERR2075400
  Max Value: 8.432876, Column: ERR489084  Second Max Value: 4.812225, Column: ERR489165
